,NAME,STATION,DATE,year,month,day,TMIN,TMAX,TAVG,PRCP,SNWD
0,"MENDOZA AERO, AR",AR000087418,1957-06-30,1957,6,30,-4.2,9.8,2.8,0.0,0.0
1,"MENDOZA AERO, AR",AR000087418,1957-07-01,1957,7,1,-3.5,10.5,3.5,0.0,0.0
2,"MENDOZA AERO, AR",AR000087418,1957-07-02,1957,7,2,-2.3,11.7,4.7,0.0,0.0
3,"MENDOZA AERO, AR",AR000087418,1957-07-03,1957,7,3,-0.9000000000000004,13.1,6.1,0.0,0.0
4,"MENDOZA AERO, AR",AR000087418,1957-07-04,1957,7,4,0.2999999999999998,14.3,7.3,0.0,0.0
5,"MENDOZA AERO, AR",AR000087418,1957-07-05,1957,7,5,0.5,14.5,7.5,0.0,0.0
6,"MENDOZA AERO, AR",AR000087418,1957-07-06,1957,7,6,2.4000000000000004,16.4,9.4,0.0,0.0
7,"MENDOZA AERO, AR",AR000087418,1957-07-07,1957,7,7,3.6999999999999993,17.7,10.7,0.0,0.0
8,"MENDOZA AERO, AR",AR000087418,1957-07-08,1957,7,8,3.0999999999999996,17.1,10.1,0.0,0.0
9,"MENDOZA AERO, AR",AR000087418,1957-07-09,1957,7,9,3.3000000000000007,17.3,10.3,0.0,0.0
10,"MENDOZA AERO, AR",AR000087418,1957-07-10,1957,7,10,2.0,16.0,9.0,0.0,0.0
11,"MENDOZA AERO, AR",AR000087418,1957-07-11,1957,7,11,2.3000000000000007,16.3,9.3,0.0,0.0
12,"MENDOZA AERO, AR",AR000087418,1957-07-12,1957,7,12,0.09999999999999964,14.1,7.1,0.0,0.0
13,"MENDOZA AERO, AR",AR000087418,1957-07-13,1957,7,13,-3.4,10.6,3.6,0.0,0.0
14,"MENDOZA AERO, AR",AR000087418,1957-07-14,1957,7,14,-4.7,9.3,2.3,0.0,0.0
15,"MENDOZA AERO, AR",AR000087418,1957-07-15,1957,7,15,-2.7,11.3,4.3,0.0,0.0
16,"MENDOZA AERO, AR",AR000087418,1957-07-16,1957,7,16,-3.2,10.8,3.8,0.0,0.0
17,"MENDOZA AERO, AR",AR000087418,1957-07-17,1957,7,17,-0.5,13.5,6.5,0.0,0.0
18,"MENDOZA AERO, AR",AR000087418,1957-07-18,1957,7,18,-3.4,10.6,3.6,0.0,0.0
19,"MENDOZA AERO, AR",AR000087418,1957-07-19,1957,7,19,-3.9,10.1,3.1,0.0,0.0
20,"MENDOZA AERO, AR",AR000087418,1957-07-20,1957,7,20,-2.0999999999999996,11.9,4.9,0.0,0.0
21,"MENDOZA AERO, AR",AR000087418,1957-07-21,1957,7,21,-0.09999999999999964,13.9,6.9,0.0,0.0
22,"MENDOZA AERO, AR",AR000087418,1957-07-22,1957,7,22,-2.0,12.0,5.0,0.0,0.0
23,"MENDOZA AERO, AR",AR000087418,1957-07-23,1957,7,23,0.9000000000000004,14.9,7.9,0.0,0.0
24,"MENDOZA AERO, AR",AR000087418,1957-07-24,1957,7,24,1.8000000000000007,15.8,8.8,0.0,0.0
25,"MENDOZA AERO, AR",AR000087418,1957-07-25,1957,7,25,1.9000000000000004,15.9,8.9,0.0,0.0
26,"MENDOZA AERO, AR",AR000087418,1957-07-26,1957,7,26,4.0,18.0,11.0,0.0,0.0
27,"MENDOZA AERO, AR",AR000087418,1957-07-27,1957,7,27,0.5,14.5,7.5,0.0,0.0
28,"MENDOZA AERO, AR",AR000087418,1957-07-28,1957,7,28,-1.7000000000000002,12.3,5.3,0.0,0.0
29,"MENDOZA AERO, AR",AR000087418,1957-07-29,1957,7,29,-1.7000000000000002,12.3,5.3,0.0,0.0
30,"MENDOZA AERO, AR",AR000087418,1957-07-30,1957,7,30,-3.1,10.9,3.9,0.0,0.0
31,"MENDOZA AERO, AR",AR000087418,1957-07-31,1957,7,31,-3.8,10.2,3.2,0.0,0.0
32,"MENDOZA AERO, AR",AR000087418,1957-08-01,1957,8,1,-3.1,10.9,3.9,0.0,0.0
33,"MENDOZA AERO, AR",AR000087418,1957-08-02,1957,8,2,-1.4000000000000004,12.6,5.6,0.0,0.0
34,"MENDOZA AERO, AR",AR000087418,1957-08-03,1957,8,3,-0.7999999999999998,13.2,6.2,0.0,0.0
35,"MENDOZA AERO, AR",AR000087418,1957-08-04,1957,8,4,0.9000000000000004,14.9,7.9,0.0,0.0
36,"MENDOZA AERO, AR",AR000087418,1957-08-05,1957,8,5,1.9000000000000004,15.9,8.9,0.0,0.0
37,"MENDOZA AERO, AR",AR000087418,1957-08-06,1957,8,6,3.8000000000000007,17.8,10.8,0.0,0.0
38,"MENDOZA AERO, AR",AR000087418,1957-08-07,1957,8,7,3.4000000000000004,17.4,10.4,0.0,0.0
39,"MENDOZA AERO, AR",AR000087418,1957-08-08,1957,8,8,2.0,16.0,9.0,0.0,0.0
40,"MENDOZA AERO, AR",AR000087418,1957-08-09,1957,8,9,-0.5999999999999996,13.4,6.4,0.0,0.0
41,"MENDOZA AERO, AR",AR000087418,1957-08-10,1957,8,10,-0.2999999999999998,13.7,6.7,0.0,0.0
42,"MENDOZA AERO, AR",AR000087418,1957-08-11,1957,8,11,1.0999999999999996,15.1,8.1,0.0,0.0
43,"MENDOZA AERO, AR",AR000087418,1957-08-13,1957,8,13,2.1999999999999993,16.2,9.2,0.0,0.0
44,"MENDOZA AERO, AR",AR000087418,1957-08-14,1957,8,14,1.5999999999999996,15.6,8.6,0.0,0.0
45,"MENDOZA AERO, AR",AR000087418,1957-08-15,1957,8,15,2.6999999999999993,16.7,9.7,0.0,0.0
46,"MENDOZA AERO, AR",AR000087418,1957-08-16,1957,8,16,2.0,16.0,9.0,0.0,0.0
47,"MENDOZA AERO, AR",AR000087418,1957-08-17,1957,8,17,-1.4000000000000004,12.6,5.6,0.0,0.0
48,"MENDOZA AERO, AR",AR000087418,1957-08-18,1957,8,18,-0.5999999999999996,13.4,6.4,0.0,0.0
49,"MENDOZA AERO, AR",AR000087418,1957-08-19,1957,8,19,1.1999999999999993,15.2,8.2,0.0,0.0
50,"MENDOZA AERO, AR",AR000087418,1957-08-20,1957,8,20,10.100000000000001,24.1,17.1,0.0,0.0
51,"MENDOZA AERO, AR",AR000087418,1957-08-21,1957,8,21,2.3000000000000007,16.3,9.3,0.0,0.0
52,"MENDOZA AERO, AR",AR000087418,1957-08-22,1957,8,22,1.8000000000000007,15.8,8.8,0.0,0.0
53,"MENDOZA AERO, AR",AR000087418,1957-08-23,1957,8,23,9.899999999999999,23.9,16.9,0.0,0.0
54,"MENDOZA AERO, AR",AR000087418,1957-08-24,1957,8,24,2.0,16.0,9.0,0.0,0.0
55,"MENDOZA AERO, AR",AR000087418,1957-08-25,1957,8,25,2.6999999999999993,16.7,9.7,0.0,0.0
56,"MENDOZA AERO, AR",AR000087418,1957-08-26,1957,8,26,6.1,20.1,13.1,0.0,0.0
57,"MENDOZA AERO, AR",AR000087418,1957-08-27,1957,8,27,7.199999999999999,21.2,14.2,0.0,0.0
58,"MENDOZA AERO, AR",AR000087418,1957-08-28,1957,8,28,8.8,22.8,15.8,0.0,0.0
59,"MENDOZA AERO, AR",AR000087418,1957-08-29,1957,8,29,5.4,19.4,12.4,0.0,0.0
60,"MENDOZA AERO, AR",AR000087418,1957-08-30,1957,8,30,4.300000000000001,18.3,11.3,0.0,0.0
61,"MENDOZA AERO, AR",AR000087418,1957-08-31,1957,8,31,5.4,19.4,12.4,0.0,0.0
62,"MENDOZA AERO, AR",AR000087418,1957-09-01,1957,9,1,6.300000000000001,20.3,13.3,0.0,0.0
63,"MENDOZA AERO, AR",AR000087418,1957-09-02,1957,9,2,5.199999999999999,19.2,12.2,0.0,0.0
64,"MENDOZA AERO, AR",AR000087418,1957-09-03,1957,9,3,1.5,15.5,8.5,0.0,0.0
65,"MENDOZA AERO, AR",AR000087418,1957-09-04,1957,9,4,0.20000000000000018,14.2,7.2,0.0,0.0
66,"MENDOZA AERO, AR",AR000087418,1957-09-05,1957,9,5,3.3000000000000007,17.3,10.3,0.0,0.0
67,"MENDOZA AERO, AR",AR000087418,1957-09-06,1957,9,6,2.5999999999999996,16.6,9.6,0.0,0.0
68,"MENDOZA AERO, AR",AR000087418,1957-09-07,1957,9,7,0.5,14.5,7.5,0.0,0.0
69,"MENDOZA AERO, AR",AR000087418,1957-09-08,1957,9,8,2.6999999999999993,16.7,9.7,0.0,0.0
70,"MENDOZA AERO, AR",AR000087418,1957-09-09,1957,9,9,5.1,19.1,12.1,0.0,0.0
71,"MENDOZA AERO, AR",AR000087418,1957-09-10,1957,9,10,6.5,20.5,13.5,0.0,0.0
72,"MENDOZA AERO, AR",AR000087418,1957-09-11,1957,9,11,3.3000000000000007,17.3,10.3,0.0,0.0
73,"MENDOZA AERO, AR",AR000087418,1957-09-12,1957,9,12,0.7000000000000002,14.7,7.7,0.0,0.0
74,"MENDOZA AERO, AR",AR000087418,1957-09-13,1957,9,13,2.5999999999999996,16.6,9.6,0.0,0.0
75,"MENDOZA AERO, AR",AR000087418,1957-09-14,1957,9,14,3.3000000000000007,17.3,10.3,0.0,0.0
76,"MENDOZA AERO, AR",AR000087418,1957-09-15,1957,9,15,6.9,20.9,13.9,0.0,0.0
77,"MENDOZA AERO, AR",AR000087418,1957-09-16,1957,9,16,9.8,23.8,16.8,0.0,0.0
78,"MENDOZA AERO, AR",AR000087418,1957-09-17,1957,9,17,10.5,24.5,17.5,0.0,0.0
79,"MENDOZA AERO, AR",AR000087418,1957-09-18,1957,9,18,5.5,19.5,12.5,0.0,0.0
80,"MENDOZA AERO, AR",AR000087418,1957-09-19,1957,9,19,4.0,18.0,11.0,0.0,0.0
81,"MENDOZA AERO, AR",AR000087418,1957-09-20,1957,9,20,6.199999999999999,20.2,13.2,0.0,0.0
82,"MENDOZA AERO, AR",AR000087418,1957-09-21,1957,9,21,6.800000000000001,20.8,13.8,0.0,0.0
83,"MENDOZA AERO, AR",AR000087418,1957-09-22,1957,9,22,8.6,22.6,15.6,0.0,0.0
84,"MENDOZA AERO, AR",AR000087418,1957-09-23,1957,9,23,7.699999999999999,21.7,14.7,0.0,0.0
85,"MENDOZA AERO, AR",AR000087418,1957-09-24,1957,9,24,10.5,24.5,17.5,0.0,0.0
86,"MENDOZA AERO, AR",AR000087418,1957-09-25,1957,9,25,8.6,22.6,15.6,0.0,0.0
87,"MENDOZA AERO, AR",AR000087418,1957-09-26,1957,9,26,9.399999999999999,23.4,16.4,0.0,0.0
88,"MENDOZA AERO, AR",AR000087418,1957-09-27,1957,9,27,11.100000000000001,25.1,18.1,0.0,0.0
89,"MENDOZA AERO, AR",AR000087418,1957-09-28,1957,9,28,11.5,25.5,18.5,0.0,0.0
90,"MENDOZA AERO, AR",AR000087418,1957-09-29,1957,9,29,11.3,25.3,18.3,0.0,0.0
91,"MENDOZA AERO, AR",AR000087418,1957-09-30,1957,9,30,13.0,27.0,20.0,0.0,0.0
92,"MENDOZA AERO, AR",AR000087418,1957-10-01,1957,10,1,17.0,31.0,24.0,0.0,0.0
93,"MENDOZA AERO, AR",AR000087418,1957-10-02,1957,10,2,16.9,30.9,23.9,0.0,0.0
94,"MENDOZA AERO, AR",AR000087418,1957-10-03,1957,10,3,17.2,31.2,24.2,0.0,0.0
95,"MENDOZA AERO, AR",AR000087418,1957-10-04,1957,10,4,15.7,29.7,22.7,0.0,0.0
96,"MENDOZA AERO, AR",AR000087418,1957-10-05,1957,10,5,8.7,22.7,15.7,0.0,0.0
97,"MENDOZA AERO, AR",AR000087418,1957-10-06,1957,10,6,11.5,25.5,18.5,0.0,0.0
98,"MENDOZA AERO, AR",AR000087418,1957-10-07,1957,10,7,11.100000000000001,25.1,18.1,0.0,0.0
99,"MENDOZA AERO, AR",AR000087418,1957-10-09,1957,10,9,1.5999999999999996,15.6,8.6,0.0,0.0
100,"MENDOZA AERO, AR",AR000087418,1957-10-10,1957,10,10,4.5,18.5,11.5,0.0,0.0
101,"MENDOZA AERO, AR",AR000087418,1957-10-11,1957,10,11,7.4,21.4,14.4,0.0,0.0
102,"MENDOZA AERO, AR",AR000087418,1957-10-12,1957,10,12,11.2,25.2,18.2,0.0,0.0
103,"MENDOZA AERO, AR",AR000087418,1957-10-13,1957,10,13,13.600000000000001,27.6,20.6,0.0,0.0
104,"MENDOZA AERO, AR",AR000087418,1957-10-14,1957,10,14,13.7,27.7,20.7,0.0,0.0
105,"MENDOZA AERO, AR",AR000087418,1957-10-15,1957,10,15,10.2,24.2,17.2,0.0,0.0
106,"MENDOZA AERO, AR",AR000087418,1957-10-16,1957,10,16,8.7,22.7,15.7,0.0,0.0
107,"MENDOZA AERO, AR",AR000087418,1957-10-17,1957,10,17,14.0,28.0,21.0,0.0,0.0
108,"MENDOZA AERO, AR",AR000087418,1957-10-18,1957,10,18,13.3,27.3,20.3,0.0,0.0
109,"MENDOZA AERO, AR",AR000087418,1957-10-19,1957,10,19,10.8,24.8,17.8,0.0,0.0
110,"MENDOZA AERO, AR",AR000087418,1957-10-20,1957,10,20,10.899999999999999,24.9,17.9,0.0,0.0
111,"MENDOZA AERO, AR",AR000087418,1957-10-21,1957,10,21,12.8,26.8,19.8,0.0,0.0
112,"MENDOZA AERO, AR",AR000087418,1957-10-22,1957,10,22,14.100000000000001,28.1,21.1,0.0,0.0
113,"MENDOZA AERO, AR",AR000087418,1957-10-23,1957,10,23,15.5,29.5,22.5,0.0,0.0
114,"MENDOZA AERO, AR",AR000087418,1957-10-24,1957,10,24,12.8,26.8,19.8,0.0,0.0
115,"MENDOZA AERO, AR",AR000087418,1957-10-25,1957,10,25,8.7,22.7,15.7,0.0,0.0
116,"MENDOZA AERO, AR",AR000087418,1957-10-26,1957,10,26,10.3,24.3,17.3,0.0,0.0
117,"MENDOZA AERO, AR",AR000087418,1957-10-27,1957,10,27,11.2,25.2,18.2,0.0,0.0
118,"MENDOZA AERO, AR",AR000087418,1957-10-28,1957,10,28,6.800000000000001,20.8,13.8,0.0,0.0
119,"MENDOZA AERO, AR",AR000087418,1957-10-29,1957,10,29,9.5,23.5,16.5,0.0,0.0
120,"MENDOZA AERO, AR",AR000087418,1957-10-30,1957,10,30,10.600000000000001,24.6,17.6,0.0,0.0
121,"MENDOZA AERO, AR",AR000087418,1957-10-31,1957,10,31,7.9,21.9,14.9,0.0,0.0
122,"MENDOZA AERO, AR",AR000087418,1957-11-01,1957,11,1,12.7,26.7,19.7,0.0,0.0
123,"MENDOZA AERO, AR",AR000087418,1957-11-02,1957,11,2,14.3,28.3,21.3,0.0,0.0
124,"MENDOZA AERO, AR",AR000087418,1957-11-03,1957,11,3,17.2,31.2,24.2,0.0,0.0
125,"MENDOZA AERO, AR",AR000087418,1957-11-04,1957,11,4,18.4,32.4,25.4,0.0,0.0
126,"MENDOZA AERO, AR",AR000087418,1957-11-05,1957,11,5,18.3,32.3,25.3,0.0,0.0
127,"MENDOZA AERO, AR",AR000087418,1957-11-06,1957,11,6,13.3,27.3,20.3,0.0,0.0
128,"MENDOZA AERO, AR",AR000087418,1957-11-07,1957,11,7,11.100000000000001,25.1,18.1,0.0,0.0
129,"MENDOZA AERO, AR",AR000087418,1957-11-08,1957,11,8,11.3,25.3,18.3,0.0,0.0
130,"MENDOZA AERO, AR",AR000087418,1957-11-09,1957,11,9,14.0,28.0,21.0,0.0,0.0
131,"MENDOZA AERO, AR",AR000087418,1957-11-10,1957,11,10,14.399999999999999,28.4,21.4,0.0,0.0
132,"MENDOZA AERO, AR",AR000087418,1957-11-11,1957,11,11,14.899999999999999,28.9,21.9,0.0,0.0
133,"MENDOZA AERO, AR",AR000087418,1957-11-12,1957,11,12,14.899999999999999,28.9,21.9,0.0,0.0
134,"MENDOZA AERO, AR",AR000087418,1957-11-13,1957,11,13,12.600000000000001,26.6,19.6,0.0,0.0
135,"MENDOZA AERO, AR",AR000087418,1957-11-14,1957,11,14,12.8,26.8,19.8,0.0,0.0
136,"MENDOZA AERO, AR",AR000087418,1957-11-15,1957,11,15,15.7,29.7,22.7,0.0,0.0
137,"MENDOZA AERO, AR",AR000087418,1957-11-16,1957,11,16,15.2,29.2,22.2,0.0,0.0
138,"MENDOZA AERO, AR",AR000087418,1957-11-17,1957,11,17,14.399999999999999,28.4,21.4,0.0,0.0
139,"MENDOZA AERO, AR",AR000087418,1957-11-18,1957,11,18,15.100000000000001,29.1,22.1,0.0,0.0
140,"MENDOZA AERO, AR",AR000087418,1957-11-19,1957,11,19,14.0,28.0,21.0,0.0,0.0
141,"MENDOZA AERO, AR",AR000087418,1957-11-20,1957,11,20,14.399999999999999,28.4,21.4,0.0,0.0
142,"MENDOZA AERO, AR",AR000087418,1957-11-21,1957,11,21,11.600000000000001,25.6,18.6,0.0,0.0
143,"MENDOZA AERO, AR",AR000087418,1957-11-22,1957,11,22,12.7,26.7,19.7,0.0,0.0
144,"MENDOZA AERO, AR",AR000087418,1957-11-23,1957,11,23,13.399999999999999,27.4,20.4,0.0,0.0
145,"MENDOZA AERO, AR",AR000087418,1957-11-24,1957,11,24,15.8,29.8,22.8,0.0,0.0
146,"MENDOZA AERO, AR",AR000087418,1957-11-25,1957,11,25,18.0,32.0,25.0,0.0,0.0
147,"MENDOZA AERO, AR",AR000087418,1957-11-26,1957,11,26,14.7,28.7,21.7,0.0,0.0
148,"MENDOZA AERO, AR",AR000087418,1957-11-27,1957,11,27,13.0,27.0,20.0,0.0,0.0
149,"MENDOZA AERO, AR",AR000087418,1957-11-28,1957,11,28,16.2,30.2,23.2,0.0,0.0
150,"MENDOZA AERO, AR",AR000087418,1957-11-29,1957,11,29,17.2,31.2,24.2,0.0,0.0
151,"MENDOZA AERO, AR",AR000087418,1957-11-30,1957,11,30,17.0,31.0,24.0,0.0,0.0
152,"MENDOZA AERO, AR",AR000087418,1957-12-01,1957,12,1,14.5,28.5,21.5,0.0,0.0
153,"MENDOZA AERO, AR",AR000087418,1957-12-02,1957,12,2,17.1,31.1,24.1,0.0,0.0
154,"MENDOZA AERO, AR",AR000087418,1957-12-03,1957,12,3,18.3,32.3,25.3,0.0,0.0
155,"MENDOZA AERO, AR",AR000087418,1957-12-04,1957,12,4,11.5,25.5,18.5,0.0,0.0
156,"MENDOZA AERO, AR",AR000087418,1957-12-05,1957,12,5,9.2,23.2,16.2,0.0,0.0
157,"MENDOZA AERO, AR",AR000087418,1957-12-06,1957,12,6,10.2,24.2,17.2,0.0,0.0
158,"MENDOZA AERO, AR",AR000087418,1957-12-07,1957,12,7,14.899999999999999,28.9,21.9,0.0,0.0
159,"MENDOZA AERO, AR",AR000087418,1957-12-08,1957,12,8,15.7,29.7,22.7,0.0,0.0
160,"MENDOZA AERO, AR",AR000087418,1957-12-09,1957,12,9,10.8,24.8,17.8,0.0,0.0
161,"MENDOZA AERO, AR",AR000087418,1957-12-10,1957,12,10,14.7,28.7,21.7,0.0,0.0
162,"MENDOZA AERO, AR",AR000087418,1957-12-11,1957,12,11,16.5,30.5,23.5,0.0,0.0
163,"MENDOZA AERO, AR",AR000087418,1957-12-12,1957,12,12,17.1,31.1,24.1,0.0,0.0
164,"MENDOZA AERO, AR",AR000087418,1957-12-13,1957,12,13,19.0,33.0,26.0,0.0,0.0
165,"MENDOZA AERO, AR",AR000087418,1957-12-14,1957,12,14,18.8,32.8,25.8,0.0,0.0
166,"MENDOZA AERO, AR",AR000087418,1957-12-15,1957,12,15,18.3,32.3,25.3,0.0,0.0
167,"MENDOZA AERO, AR",AR000087418,1957-12-16,1957,12,16,17.6,31.6,24.6,0.0,0.0
168,"MENDOZA AERO, AR",AR000087418,1957-12-17,1957,12,17,19.5,33.5,26.5,0.0,0.0
169,"MENDOZA AERO, AR",AR000087418,1957-12-18,1957,12,18,19.0,33.0,26.0,0.0,0.0
170,"MENDOZA AERO, AR",AR000087418,1957-12-19,1957,12,19,18.4,32.4,25.4,0.0,0.0
171,"MENDOZA AERO, AR",AR000087418,1957-12-20,1957,12,20,18.0,32.0,25.0,0.0,0.0
172,"MENDOZA AERO, AR",AR000087418,1957-12-21,1957,12,21,18.0,32.0,25.0,0.0,0.0
173,"MENDOZA AERO, AR",AR000087418,1957-12-22,1957,12,22,18.2,32.2,25.2,0.0,0.0
174,"MENDOZA AERO, AR",AR000087418,1957-12-23,1957,12,23,19.8,33.8,26.8,0.0,0.0
175,"MENDOZA AERO, AR",AR000087418,1957-12-24,1957,12,24,18.3,32.3,25.3,0.0,0.0
176,"MENDOZA AERO, AR",AR000087418,1957-12-25,1957,12,25,18.8,32.8,25.8,0.0,0.0
177,"MENDOZA AERO, AR",AR000087418,1957-12-26,1957,12,26,19.5,33.5,26.5,0.0,0.0
178,"MENDOZA AERO, AR",AR000087418,1957-12-27,1957,12,27,21.3,35.3,28.3,0.0,0.0
179,"MENDOZA AERO, AR",AR000087418,1957-12-28,1957,12,28,20.8,34.8,27.8,0.0,0.0
180,"MENDOZA AERO, AR",AR000087418,1957-12-29,1957,12,29,16.1,30.1,23.1,0.0,0.0
181,"MENDOZA AERO, AR",AR000087418,1957-12-30,1957,12,30,14.399999999999999,28.4,21.4,0.0,0.0
182,"MENDOZA AERO, AR",AR000087418,1957-12-31,1957,12,31,13.8,27.8,20.8,0.0,0.0
183,"MENDOZA AERO, AR",AR000087418,1958-01-01,1958,1,1,16.5,30.5,23.5,0.0,0.0
184,"MENDOZA AERO, AR",AR000087418,1958-01-02,1958,1,2,18.6,32.6,25.6,0.0,0.0
185,"MENDOZA AERO, AR",AR000087418,1958-01-03,1958,1,3,19.4,33.4,26.4,0.0,0.0
186,"MENDOZA AERO, AR",AR000087418,1958-01-04,1958,1,4,19.9,33.9,26.9,0.0,0.0
187,"MENDOZA AERO, AR",AR000087418,1958-01-05,1958,1,5,18.3,32.3,25.3,0.0,0.0
188,"MENDOZA AERO, AR",AR000087418,1958-01-06,1958,1,6,19.2,33.2,26.2,0.0,0.0
189,"MENDOZA AERO, AR",AR000087418,1958-01-07,1958,1,7,20.4,34.4,27.4,0.0,0.0
190,"MENDOZA AERO, AR",AR000087418,1958-01-08,1958,1,8,19.9,33.9,26.9,0.0,0.0
191,"MENDOZA AERO, AR",AR000087418,1958-01-09,1958,1,9,23.2,37.2,30.2,0.0,0.0
192,"MENDOZA AERO, AR",AR000087418,1958-01-10,1958,1,10,21.6,35.6,28.6,0.0,0.0
193,"MENDOZA AERO, AR",AR000087418,1958-01-11,1958,1,11,19.8,33.8,26.8,0.0,0.0
194,"MENDOZA AERO, AR",AR000087418,1958-01-12,1958,1,12,17.8,31.8,24.8,0.0,0.0
195,"MENDOZA AERO, AR",AR000087418,1958-01-13,1958,1,13,19.1,33.1,26.1,0.0,0.0
196,"MENDOZA AERO, AR",AR000087418,1958-01-14,1958,1,14,21.8,35.8,28.8,0.0,0.0
197,"MENDOZA AERO, AR",AR000087418,1958-01-15,1958,1,15,16.1,30.1,23.1,0.0,0.0
198,"MENDOZA AERO, AR",AR000087418,1958-01-16,1958,1,16,16.5,30.5,23.5,0.0,0.0
199,"MENDOZA AERO, AR",AR000087418,1958-01-17,1958,1,17,19.7,33.7,26.7,0.0,0.0
200,"MENDOZA AERO, AR",AR000087418,1958-01-18,1958,1,18,16.1,30.1,23.1,0.0,0.0
201,"MENDOZA AERO, AR",AR000087418,1958-01-19,1958,1,19,14.5,28.5,21.5,0.0,0.0
202,"MENDOZA AERO, AR",AR000087418,1958-01-20,1958,1,20,13.399999999999999,27.4,20.4,0.0,0.0
203,"MENDOZA AERO, AR",AR000087418,1958-01-21,1958,1,21,14.2,28.2,21.2,0.0,0.0
204,"MENDOZA AERO, AR",AR000087418,1958-01-22,1958,1,22,13.7,27.7,20.7,0.0,0.0
205,"MENDOZA AERO, AR",AR000087418,1958-01-23,1958,1,23,17.7,31.7,24.7,0.0,0.0
206,"MENDOZA AERO, AR",AR000087418,1958-01-24,1958,1,24,18.3,32.3,25.3,0.0,0.0
207,"MENDOZA AERO, AR",AR000087418,1958-01-25,1958,1,25,19.4,33.4,26.4,0.0,0.0
208,"MENDOZA AERO, AR",AR000087418,1958-01-26,1958,1,26,14.8,28.8,21.8,0.0,0.0
