,date,year,month,day,tmin(°C),tmax(°C),tavg(°C),precipitaciones(mm)
2643,1965-08-13,1965,8,13,9.8,20.5,13.5,0.3
3348,1967-07-19,1967,7,19,1.6,11.0,7.1,0.5
3387,1967-08-27,1967,8,27,2.0,19.4,9.8,0.5
3388,1967-08-28,1967,8,28,2.1,20.7,8.1,0.0
3395,1967-09-04,1967,9,4,4.8,9.4,6.8,1.0
3396,1967-09-05,1967,9,5,-2.5,17.6,6.2,0.0
3403,1967-09-12,1967,9,12,2.1,17.5,10.4,0.5
3404,1967-09-13,1967,9,13,0.9,24.4,11.2,0.0
3418,1967-09-27,1967,9,27,9.5,17.8,12.7,0.5
3419,1967-09-28,1967,9,28,9.2,15.5,11.9,1.0
3420,1967-09-29,1967,9,29,6.8,17.8,10.2,1.0
3421,1967-09-30,1967,9,30,4.6,23.4,13.9,0.0
3438,1967-10-17,1967,10,17,9.7,18.0,10.3,7.9
3439,1967-10-18,1967,10,18,8.0,17.2,12.0,0.0
3441,1967-10-20,1967,10,20,9.1,18.0,14.2,0.3
3442,1967-10-21,1967,10,21,2.5,23.7,12.2,0.0
3445,1967-10-24,1967,10,24,15.0,29.2,20.8,0.5
3446,1967-10-25,1967,10,25,14.5,29.8,21.8,0.0
3447,1967-10-26,1967,10,26,15.4,33.4,26.3,0.5
3448,1967-10-27,1967,10,27,16.5,25.4,21.2,0.0
3454,1967-11-02,1967,11,2,8.4,27.7,17.6,0.5
3456,1967-11-04,1967,11,4,13.3,27.0,20.0,0.5
3457,1967-11-05,1967,11,5,11.5,30.5,21.3,1.0
3458,1967-11-06,1967,11,6,15.0,33.0,23.5,0.0
3500,1967-12-18,1967,12,18,21.5,29.4,25.6,2.0
3501,1967-12-19,1967,12,19,19.7,33.2,24.3,0.0
3502,1967-12-20,1967,12,20,19.8,29.8,25.2,0.5
3503,1967-12-21,1967,12,21,15.5,30.9,24.9,0.0
3506,1967-12-24,1967,12,24,20.5,34.7,28.2,0.5
3507,1967-12-25,1967,12,25,19.4,37.3,31.1,0.0
3511,1967-12-29,1967,12,29,19.3,33.0,27.3,0.5
3512,1967-12-30,1967,12,30,20.1,32.2,27.8,0.0
3532,1968-01-19,1968,1,19,18.0,26.7,21.6,1.0
3533,1968-01-20,1968,1,20,10.2,33.4,22.6,0.0
3539,1968-01-26,1968,1,26,15.1,31.5,23.9,0.5
3540,1968-01-27,1968,1,27,17.2,35.6,28.0,0.0
3548,1968-02-04,1968,2,4,19.5,31.8,26.2,6.1
3549,1968-02-05,1968,2,5,19.2,33.0,25.8,0.5
3550,1968-02-06,1968,2,6,21.0,29.8,25.0,0.0
3556,1968-02-12,1968,2,12,18.5,28.2,22.1,2.0
3557,1968-02-13,1968,2,13,14.6,29.8,22.8,0.0
3562,1968-02-18,1968,2,18,17.4,34.0,26.7,0.5
3563,1968-02-19,1968,2,19,18.5,34.0,26.1,0.0
3574,1968-03-01,1968,3,1,22.0,30.4,26.1,4.1
3575,1968-03-02,1968,3,2,19.4,34.0,27.8,0.0
3576,1968-03-03,1968,3,3,18.3,32.4,25.6,5.1
3577,1968-03-04,1968,3,4,19.0,25.7,23.1,0.0
3578,1968-03-05,1968,3,5,15.5,22.5,19.3,0.5
3579,1968-03-06,1968,3,6,17.0,23.8,19.4,1.0
3580,1968-03-07,1968,3,7,16.5,24.8,21.1,1.0
3581,1968-03-08,1968,3,8,16.5,24.8,21.4,0.0
3588,1968-03-15,1968,3,15,9.4,20.5,14.4,0.5
3589,1968-03-16,1968,3,16,11.2,23.2,16.5,0.0
3598,1968-03-25,1968,3,25,9.0,19.0,12.8,0.5
3599,1968-03-26,1968,3,26,2.2,26.3,14.6,0.0
3604,1968-03-31,1968,3,31,10.5,20.0,12.2,0.5
3605,1968-04-01,1968,4,1,8.3,17.0,11.4,0.0
3608,1968-04-04,1968,4,4,12.1,21.6,15.9,4.1
3609,1968-04-05,1968,4,5,10.0,24.6,17.0,0.0
3620,1968-04-16,1968,4,16,12.5,19.3,15.0,4.1
3621,1968-04-17,1968,4,17,6.7,20.8,13.6,16.0
3622,1968-04-18,1968,4,18,8.6,17.7,11.1,0.0
3623,1968-04-19,1968,4,19,6.0,18.4,11.8,2.0
3624,1968-04-20,1968,4,20,8.9,20.4,12.7,0.0
3645,1968-05-11,1968,5,11,6.0,25.6,17.3,1.0
3646,1968-05-12,1968,5,12,6.2,26.4,15.6,0.0
3655,1968-05-21,1968,5,21,8.4,18.7,13.7,0.5
3656,1968-05-22,1968,5,22,4.5,17.3,8.7,0.0
3670,1968-06-05,1968,6,5,7.0,12.6,9.7,0.5
3671,1968-06-06,1968,6,6,7.0,11.6,8.9,0.0
3679,1968-06-14,1968,6,14,2.6,16.2,11.2,4.1
3680,1968-06-15,1968,6,15,5.2,10.5,7.8,0.0
3691,1968-06-26,1968,6,26,5.8,12.5,8.2,0.5
3692,1968-06-27,1968,6,27,0.3,15.2,6.9,0.0
3770,1968-09-13,1968,9,13,3.5,7.7,5.5,0.5
3771,1968-09-14,1968,9,14,4.1,13.6,9.1,0.0
3785,1968-09-28,1968,9,28,8.5,20.6,12.9,3.0
3786,1968-09-29,1968,9,29,6.7,26.0,16.8,0.0
3797,1968-10-10,1968,10,10,13.6,25.5,19.5,17.0
3798,1968-10-11,1968,10,11,11.5,27.7,19.7,0.0
3799,1968-10-12,1968,10,12,15.6,30.6,23.2,0.5
3800,1968-10-13,1968,10,13,17.2,28.0,22.6,2.0
3801,1968-10-14,1968,10,14,12.1,26.0,19.5,0.0
3836,1968-11-18,1968,11,18,16.4,33.4,27.9,18.0
3837,1968-11-19,1968,11,19,18.5,36.6,28.3,0.0
3851,1968-12-03,1968,12,3,18.6,33.2,27.9,2.0
